ID interno,Número da Nota Fiscal,série,Número de prestações,Data,Data de vencimento,Valor,Valor restante,Dias em débito,Nome,ID,Razão Social,CNPJ/CPF, Telefone,Representante de vendas,Prazo,Data de criação,Status,Tipo de Operação
401547,000046279,1,1,01/08/2024,31/08/2024,31620.60,.00,0,CJ3508 UNIMED DE TATUI - SP,CJ3508,UNIMED DE TATUI COOPERATIVA DE TRABALHO MEDICO,00006037000470,,ANA CAROLINE DA SILVA XAVIER,1x - Pagamento em 30 dias,25/11/2022 8:59,Pago,500 - VENDA A NÃO CONTRIBUINTE
401549,000046280,1,1,01/08/2024,31/08/2024,5745.91,.00,0,CJ3290 HOSPITAL UNIMED REGIONAL JAU - SP,CJ3290,UNIMED REGIONAL JAU COOPERATIVA DE TRABALHO MEDICO,02322043000542,,Vanusa Garcia Da Silva,"3x - Pagto em 30, 45 e 60 dias",01/09/2022 9:12,Pago,500 - VENDA A NÃO CONTRIBUINTE
401549,000046280,1,3,01/08/2024,30/09/2024,5745.92,.00,0,CJ3290 HOSPITAL UNIMED REGIONAL JAU - SP,CJ3290,UNIMED REGIONAL JAU COOPERATIVA DE TRABALHO MEDICO,02322043000542,,Vanusa Garcia Da Silva,"3x - Pagto em 30, 45 e 60 dias",01/09/2022 9:12,Pago,500 - VENDA A NÃO CONTRIBUINTE
401549,000046280,1,2,01/08/2024,15/09/2024,5745.91,.00,0,CJ3290 HOSPITAL UNIMED REGIONAL JAU - SP,CJ3290,UNIMED REGIONAL JAU COOPERATIVA DE TRABALHO MEDICO,02322043000542,,Vanusa Garcia Da Silva,"3x - Pagto em 30, 45 e 60 dias",01/09/2022 9:12,Pago,500 - VENDA A NÃO CONTRIBUINTE
401550,000046281,1,1,01/08/2024,31/08/2024,11288.00,.00,2,CJ3264 NOVO HOSPITAL ROD UNIMED SALTO ITU - SP,CJ3264,UNIMED SALTO/ITU - COOPERATIVA MEDICA,58837188001189,,ANA CAROLINE DA SILVA XAVIER,1x - Pagamento em 30 dias,19/08/2022 16:08,Pago,500 - VENDA A NÃO CONTRIBUINTE
401551,000046282,1,1,01/08/2024,31/08/2024,5163.23,.00,0,CJ4842 CENTRO DE DIAGNOSTICO E TRATAMENTO DE NEOPLASIAS - PONTA GROSSA - PR,CJ4842,CENTRO DE DIAGNOSTICO E TRATAMENTO DE NEOPLASIAS LTDA,01751584000108,,Lucas Daniel Oliveira Chinarelli,1x - Pagamento em 30 dias,23/07/2024 14:15,Pago,500 - VENDA A NÃO CONTRIBUINTE
401553,000046283,1,1,01/08/2024,31/08/2024,644.55,.00,2,CJ4360 HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS - CARIACICA - ES,CJ4360,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS S/A,30779649000113,,CARTEIRA INTERNA,2x - Pagamento em 30 e 60 dias,09/02/2024 9:36,Pago,500 - VENDA A NÃO CONTRIBUINTE
401553,000046283,1,2,01/08/2024,30/09/2024,644.55,.00,1,CJ4360 HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS - CARIACICA - ES,CJ4360,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS S/A,30779649000113,,CARTEIRA INTERNA,2x - Pagamento em 30 e 60 dias,09/02/2024 9:36,Pago,500 - VENDA A NÃO CONTRIBUINTE
401864,000046284,1,1,01/08/2024,31/08/2024,28000.00,.00,2,CJ161 UNIMED DE PIRACICABA - SP,CJ161,UNIMED DE PIRACICABA SOC COOP DE SERVIÇOS MEDICOS,44803922000293,,ANA CAROLINE DA SILVA XAVIER,1x - Pagamento em 30 dias,31/07/2020 18:48,Pago,500 - VENDA A NÃO CONTRIBUINTE
401865,000046285,1,1,01/08/2024,31/08/2024,25748.55,.00,5,CJ3032 PRONTO SOCORRO MEDSENIOR - BELO HORIZONTE - MG,CJ3032,SAMEDIL SERVICOS DE ATENDIMENTO MEDICO SA,31466949001772,,BHEATRIZ M BRAND BAPTISTA,1x - Pagamento em 30 dias,09/05/2022 14:40,Pago,500 - VENDA A NÃO CONTRIBUINTE
401866,000046286,1,1,01/08/2024,30/10/2024,6360.00,.00,0,CJ058 ESHO EMPRESA DE SERVICOS HOSPITALARES - SAO PAULO - SP,CJ058,ESHO EMPRESA DE SERVICOS HOSPITALARES S.A.,29435005009932,,BRUNA FARIA SÁ,1x - Pagamento em 90 dias,31/07/2020 18:48,Pago,500 - VENDA A NÃO CONTRIBUINTE
401867,000046287,1,1,01/08/2024,31/08/2024,1122.00,.00,3,CJ4744 HOSPITAL UNIMED BLUMENAU - SC,CJ4744,UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO,82624776001623,,CARTEIRA INTERNA,1x - Pagamento em 30 dias,24/06/2024 14:31,Pago,500 - VENDA A NÃO CONTRIBUINTE
401870,000046288,1,1,01/08/2024,29/08/2024,409.48,.00,0,CJ4111 HOSPITAL REGIONAL ILHA SOLTEIRA - CENTRO - SP,CJ4111,ASSOCIAÇAO LAR SAO FRANCISCO ASSIS NA PROVIDENCIA DE DEUS,53221255003409,,CARTEIRA INTERNA,1x - Pagamento em 28 dias,07/11/2023 10:38,Pago,500 - VENDA A NÃO CONTRIBUINTE
401871,000046289,1,1,01/08/2024,31/08/2024,15474.57,.00,0,CJ168 UNIMED NORTE DE MINAS - MONTES CLAROS - MG,CJ168,UNIMED MONTES CLAROS COOP DE TRABALHO MEDICO LTDA,16921561000163,,MATEUS AUGUSTO LEME CRISPIM,2x - Pagamento em 30 e 60 dias,31/07/2020 18:48,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
401871,000046289,1,2,01/08/2024,30/09/2024,15474.57,.00,0,CJ168 UNIMED NORTE DE MINAS - MONTES CLAROS - MG,CJ168,UNIMED MONTES CLAROS COOP DE TRABALHO MEDICO LTDA,16921561000163,,MATEUS AUGUSTO LEME CRISPIM,2x - Pagamento em 30 e 60 dias,31/07/2020 18:48,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
401872,000046291,1,1,01/08/2024,31/08/2024,8740.82,.00,12,CJ364 OMINT SAUDE - SAO PAULO - SP,CJ364,OMINT SERVIÇOS DE SAUDE S.A.,44673382000190,,BRUNA FARIA SÁ,1x - Pagamento em 30 dias,02/08/2020 16:55,Pago,504 - VENDA À ORDEM NÃO CONTRIBUINTE
401873,000046290,1,1,01/08/2024,31/08/2024,15474.57,15474.57,623,CF4871 MARIA APARECIDA BRANT ATAIDE,CF4871,MARIA APARECIDA BRANT ATAIDE,95948589668,3832291502,,2x - Pagamento em 30 e 60 dias,01/08/2024 9:47,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
401873,000046290,1,2,01/08/2024,30/09/2024,15474.57,15474.57,593,CF4871 MARIA APARECIDA BRANT ATAIDE,CF4871,MARIA APARECIDA BRANT ATAIDE,95948589668,3832291502,,2x - Pagamento em 30 e 60 dias,01/08/2024 9:47,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
401874,000046292,1,1,01/08/2024,31/08/2024,8740.82,8740.82,623,CF3666 MAURICIO GONCALVES BATISTA,CF3666,MAURICIO GONCALVES BATISTA,33917585898,1197451-9440,,1x - Pagamento em 30 dias,18/04/2023 11:01,Não pago,505 - REMESSA POR CONTA E ORDEM DE TERCEIROS
