ID interno,Data pagamento,Data de vencimento,ID Pagamento,Cliente,Localidade,Número da Fatura,Número da Nota Fiscal,FIDIC,Valor da nota,Valor Já Recebido,Conta bancária,Conta contábil,ID interno,Valor restante,Numero Parcela - ACS,Valor Pago Parcela - ACS,Data de vencimento/Receber até,Data Vencimento - ACS,Categoria de cliente,Data da Transação
801675,21/05/2026,21/05/2026,Pagamento #98213,CJ5006 HOSPITAL DO CORACAO - SAO PAULO - SP,DF - DISTRIBUIDORA 0004 [5],83079,000074668,Sim,43635.18,43635.18,1111227 1.1.1.01.02.027 - Banco do Brasil 004-6,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801675,.00,1,43635.18,,21/05/2026,HOSPITAL,20/02/2026
801622,26/05/2026,28/05/2026,Pagamento #98212,CJ5362 GUSUKUMA OFTALMOLOGIA ESPECIALIZADA - CACOAL - RO,DF - DISTRIBUIDORA 0004 [5],91947,000082617,Não,33619.86,33619.86,1121201 1.1.2.01.02.001 - Safrapay - Recebíveis Cartão de Crédito,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801622,.00,1,33619.86,,28/05/2026,CLINICA,27/05/2026
801601,26/05/2026,26/05/2026,Pagamento #98211,CJ4861 COP - CENTRO DE ONCOLOGIA DO PARANA - CURITIBA - PR,DF - DISTRIBUIDORA 0004 [5],83441,000074997,Sim,8550.00,8550.00,1111258 1.1.1.01.02.058 - Banco Krediton QI 00 -2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801601,.00,3,2850.00,,26/05/2026,CLINICA,25/02/2026
801600,26/05/2026,23/06/2026,Pagamento #98210,CJ3872 CENTRO DE ONCOLOGIA UNIMED - CHAPECO - SC,SC - DISTRIBUIDORA 0006 [8],86229,000003938,Sim,151632.00,101088.00,1111302 1.1.1.01.03.002 - Caixa Econômica Federal 084-3-[10042],1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801600,50544.00,2,50544.00,,24/05/2026,CLINICA,25/03/2026
801598,26/05/2026,23/06/2026,Pagamento #98209,CJ2185 HOSPITAL BENEFICENTE UNIMAR - MARILIA - SP,DF - DISTRIBUIDORA 0004 [5],86661,000077768,Sim,77836.00,51890.66,1111302 1.1.1.01.03.002 - Caixa Econômica Federal 084-3-[10042],1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801598,25945.34,2,25945.33,,26/05/2026,HOSPITAL,31/03/2026
801596,26/05/2026,25/06/2026,Pagamento #98208,CJ2691 ONCOLESTE - GOVERNADOR VALADARES - MG,DF - DISTRIBUIDORA 0004 [5],86368,000077498,Sim,9370.00,6246.66,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801596,3123.34,2,3123.33,,26/05/2026,CLINICA,27/03/2026
801595,26/05/2026,09/06/2026,Pagamento #98207,CJ183 UNIMED DE SAO JOSE DO RIO PRETO - JARDIM ALTO DO RIO PRETO - SP,DF - DISTRIBUIDORA 0004 [5],87572,000078599,Sim,34646.55,11548.85,1111254 1.1.1.01.02.054  - Banco Ophir  -  7840-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801595,23097.70,1,11548.85,,25/05/2026,HOSPITAL,10/04/2026
801594,26/05/2026,25/05/2026,Pagamento #98206,CJ4130 CIASU - CENTRO INTEGRADO DE ASSISTENCIA A SAUDE UNIMED - MARINGA - PR,DF - DISTRIBUIDORA 0004 [5],86269,000077403,Sim,50668.62,50668.62,1111254 1.1.1.01.02.054  - Banco Ophir  -  7840-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801594,.00,3,16889.54,,25/05/2026,HOSPITAL,26/03/2026
801593,26/05/2026,25/05/2026,Pagamento #98205,CJ4130 CIASU - CENTRO INTEGRADO DE ASSISTENCIA A SAUDE UNIMED - MARINGA - PR,DF - DISTRIBUIDORA 0004 [5],86273,000077406,Sim,5064.88,5064.88,1111254 1.1.1.01.02.054  - Banco Ophir  -  7840-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801593,.00,3,1688.30,,25/05/2026,HOSPITAL,26/03/2026
801592,26/05/2026,25/05/2026,Pagamento #98204,CJ4130 CIASU - CENTRO INTEGRADO DE ASSISTENCIA A SAUDE UNIMED - MARINGA - PR,SC - DISTRIBUIDORA 0006 [8],86271,000003947,Sim,23533.96,23533.96,1111254 1.1.1.01.02.054  - Banco Ophir  -  7840-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801592,.00,3,7844.66,,25/05/2026,HOSPITAL,26/03/2026
801590,26/05/2026,09/06/2026,Pagamento #98203,CJ164 UNIMED DE VOLTA REDONDA - RJ,RJ - DISTRIBUIDORA 0001 [1],87552,000201748,Sim,27880.20,18586.80,1111254 1.1.1.01.02.054  - Banco Ophir  -  7840-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801590,9293.40,2,9293.40,,25/05/2026,HOSPITAL,10/04/2026
801589,26/05/2026,27/06/2026,Pagamento #98202,CJ4804 SERMED SAUDE - SERTAOZINHO - SP,DF - DISTRIBUIDORA 0004 [5],89044,000079997,Sim,32925.34,16462.67,1111264 1.1.1.01.02.064 - Banco ALLSEC  VORTX  -  432-2,1121101 1.1.2.01.01.001 - Operadoras de Saúde,801589,16462.67,1,16462.67,,28/05/2026,OPERADORA,28/04/2026
801587,07/04/2026,08/04/2026,Pagamento #98200,CF5722 SONIA VERVLOET BRAZ,RJ - FARMACIA 0002 [6],87137,000027811,Não,34060.00,34060.00,1121201 1.1.2.01.02.001 - Safrapay - Recebíveis Cartão de Crédito,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801587,.00,1,34060.00,,08/04/2026,PESSOA FÍSICA,07/04/2026
801586,26/05/2026,08/06/2026,Pagamento #98199,CJ5721 HOSPITAL DA UNIMED EM JUAZEIRO - BA,DF - DISTRIBUIDORA 0004 [5],87372,000078418,Sim,28070.56,14035.28,1111247 1.1.1.01.02.047 - Banco Jump Arbi 632,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801586,14035.28,2,7017.64,,24/05/2026,HOSPITAL,09/04/2026
801584,26/05/2026,26/05/2026,Pagamento #98198,CJ3933 VIVER BEM - UNIMED PATOS DE MINAS - MG,DF - DISTRIBUIDORA 0004 [5],86296,000077426,Sim,99012.72,99012.72,2111126 2.1.1.01.01.026 - Desconto Fácil Banco Safra,1121101 1.1.2.01.01.001 - Operadoras de Saúde,801584,.00,2,49506.36,,26/05/2026,OPERADORA,26/03/2026
801582,26/05/2026,25/05/2026,Pagamento #98197,CJ4726 CEOF CENTRO ESPECIALIZADO DE ONCOLOGIA DE FLORIANOPOLIS - SC,DF - DISTRIBUIDORA 0004 [5],83388,000074940,Sim,140400.00,140400.00,2111125 2.1.1.01.01.025 - DCASH FIDIC,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801582,.00,2,70200.00,,25/05/2026,CLINICA,24/02/2026
801581,26/05/2026,25/05/2026,Pagamento #98196,CJ4726 CEOF CENTRO ESPECIALIZADO DE ONCOLOGIA DE FLORIANOPOLIS - SC,DF - DISTRIBUIDORA 0004 [5],83370,000074926,Sim,6777.16,6777.16,2111125 2.1.1.01.01.025 - DCASH FIDIC,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801581,.00,2,3388.58,,25/05/2026,CLINICA,24/02/2026
801580,26/05/2026,25/05/2026,Pagamento #98195,CJ4861 COP - CENTRO DE ONCOLOGIA DO PARANA - CURITIBA - PR,DF - DISTRIBUIDORA 0004 [5],83427,000074980,Sim,104984.87,104984.87,2111125 2.1.1.01.01.025 - DCASH FIDIC,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801580,.00,3,34994.95,,25/05/2026,CLINICA,24/02/2026
801578,26/05/2026,25/05/2026,Pagamento #98194,CJ357 POLICLINICA ALECRIM - NATAL - RN,DF - DISTRIBUIDORA 0004 [5],83430,000074983,Sim,24577.08,24577.08,2111125 2.1.1.01.01.025 - DCASH FIDIC,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801578,.00,2,12288.54,,25/05/2026,HOSPITAL,24/02/2026
801577,26/05/2026,22/06/2026,Pagamento #98193,CJ5149 UNIMED TERESINA COOPERATIVA DE TRABALHO MEDICO - PI,DF - DISTRIBUIDORA 0004 [5],86003,000077160,Sim,9809.80,6539.86,2111125 2.1.1.01.01.025 - DCASH FIDIC,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801577,3269.94,2,3269.93,,23/05/2026,HOSPITAL,24/03/2026
801574,26/05/2026,29/05/2026,Pagamento #98191,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,DF - DISTRIBUIDORA 0004 [5],86485,000077605,Sim,13850.00,13850.00,2111143 2.1.1.01.01.043 - FIDIC RED,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801574,.00,2,6925.00,,29/05/2026,HOSPITAL,30/03/2026
801573,26/05/2026,26/05/2026,Pagamento #98190,CJ159 UNIMED DE NOVA FRIBURGO - RJ,RJ - DISTRIBUIDORA 0001 [1],86467,000201727,Sim,33257.68,33257.68,2111143 2.1.1.01.01.043 - FIDIC RED,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801573,.00,3,11085.90,,26/05/2026,HOSPITAL,27/03/2026
801572,26/05/2026,26/05/2026,Pagamento #98189,CJ6042 FARMACIA JULIANA - MATA DE SAO JOAO - BA,DF - DISTRIBUIDORA 0004 [5],86391,000077517,Sim,4033.50,4033.50,2111143 2.1.1.01.01.043 - FIDIC RED,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801572,.00,2,2016.75,,26/05/2026,FARMÁCIAS E DROGARIAS,27/03/2026
801571,26/05/2026,26/05/2026,Pagamento #98188,CJ358 MEDRADIUS - MACEIO - AL,DF - DISTRIBUIDORA 0004 [5],86403,000077528,Sim,2340.00,2340.00,2111143 2.1.1.01.01.043 - FIDIC RED,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801571,.00,1,2340.00,,26/05/2026,CLINICA,27/03/2026
801569,26/05/2026,26/05/2026,Pagamento #98187,CJ3783 IPC - SAO PAULO - SP,DF - DISTRIBUIDORA 0004 [5],86383,000077511,Sim,8400.00,8400.00,2111143 2.1.1.01.01.043 - FIDIC RED,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801569,.00,1,8400.00,,26/05/2026,HOSPITAL,27/03/2026
801568,26/05/2026,26/05/2026,Pagamento #98186,CJ4959 REMED MEDICAMENTOS ESPECIAIS - FLORIANOPOLIS - SC,SC - DISTRIBUIDORA 0006 [8],86390,000003960,Sim,7058.24,7058.24,2111143 2.1.1.01.01.043 - FIDIC RED,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801568,.00,3,2352.74,,26/05/2026,FARMÁCIAS E DROGARIAS,27/03/2026
801567,26/05/2026,23/06/2026,Pagamento #98185,CJ5268 FEMMECENTER - UBERLANDIA - MG,SC - DISTRIBUIDORA 0006 [8],86636,000003996,Sim,7819.70,5213.14,2111143 2.1.1.01.01.043 - FIDIC RED,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801567,2606.56,2,2606.57,,26/05/2026,CLINICA,31/03/2026
801566,26/05/2026,26/05/2026,Pagamento #98184,CJ166 UNIMED JUIZ DE FORA - MG,DF - DISTRIBUIDORA 0004 [5],86464,000077588,Sim,39665.00,39665.00,2111143 2.1.1.01.01.043 - FIDIC RED,1121101 1.1.2.01.01.001 - Operadoras de Saúde,801566,.00,1,39665.00,,26/05/2026,OPERADORA,27/03/2026
801565,26/05/2026,25/06/2026,Pagamento #98183,CJ4667 HOSPITAL UNIMED CUIABA - MT,DF - DISTRIBUIDORA 0004 [5],86400,000077525,Sim,32580.00,21720.00,2111143 2.1.1.01.01.043 - FIDIC RED,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801565,10860.00,2,10860.00,,26/05/2026,HOSPITAL,27/03/2026
801564,26/05/2026,27/05/2026,Pagamento #98182,CF5838 GUSTAVO SOUZA CAMPOS,RJ - FARMACIA 0002 [6],91820,000027831,Não,9168.00,9168.00,1121201 1.1.2.01.02.001 - Safrapay - Recebíveis Cartão de Crédito,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801564,.00,1,9168.00,,27/05/2026,PESSOA FÍSICA,26/05/2026
801539,15/05/2026,10/04/2026,Pagamento #98181,CJ4766 CASSEMS - CAMPO GRANDE - MS,DF - DISTRIBUIDORA 0004 [5],82430,000074119,Não,29603.28,8092.50,1111202 1.1.1.01.02.002 - Banco Itaú 786-7-[10022],1121101 1.1.2.01.01.001 - Operadoras de Saúde,801539,21510.78,1,8092.50,,10/04/2026,OPERADORA,11/02/2026
801326,26/05/2026,26/05/2026,Pagamento #98180,CJ149 HOSPITAL UNIMED ARARAS - SP,DF - DISTRIBUIDORA 0004 [5],86359,000077488,Sim,22306.52,22306.52,1111258 1.1.1.01.02.058 - Banco Krediton QI 00 -2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801326,.00,2,11153.26,,26/05/2026,HOSPITAL,27/03/2026
801325,26/05/2026,26/05/2026,Pagamento #98179,CJ149 HOSPITAL UNIMED ARARAS - SP,DF - DISTRIBUIDORA 0004 [5],86360,000077489,Sim,3210.00,3210.00,1111258 1.1.1.01.02.058 - Banco Krediton QI 00 -2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801325,.00,2,1605.00,,26/05/2026,HOSPITAL,27/03/2026
801324,26/05/2026,29/05/2026,Pagamento #98178,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,DF - DISTRIBUIDORA 0004 [5],86492,000077612,Sim,58145.60,58145.60,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801324,.00,2,29072.80,,29/05/2026,HOSPITAL,30/03/2026
801323,26/05/2026,26/05/2026,Pagamento #98177,CJ149 HOSPITAL UNIMED ARARAS - SP,DF - DISTRIBUIDORA 0004 [5],86361,000077490,Sim,83100.00,83100.00,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801323,.00,2,41550.00,,26/05/2026,HOSPITAL,27/03/2026
801322,26/05/2026,26/05/2026,Pagamento #98176,CJ5918 SANTA FILOMENA SAUDE - RIO CLARO - SP,DF - DISTRIBUIDORA 0004 [5],86367,000077495,Sim,36346.37,36346.37,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801322,.00,2,18173.19,,26/05/2026,OPERADORA,27/03/2026
801321,26/05/2026,25/06/2026,Pagamento #98175,CJ4757 NOA - NUCLEO DE ONCOLOGIA DO AGRESTE - CARUARU - PE,DF - DISTRIBUIDORA 0004 [5],86380,000077508,Sim,21486.48,14324.32,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801321,7162.16,2,7162.16,,26/05/2026,CLINICA,27/03/2026
801320,26/05/2026,26/05/2026,Pagamento #98174,CJ157 HOSPITAL UNIMED BIRIGUI - SP,DF - DISTRIBUIDORA 0004 [5],86366,000077494,Sim,8808.62,8808.62,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801320,.00,3,2936.20,,26/05/2026,HOSPITAL,27/03/2026
801319,26/05/2026,10/06/2026,Pagamento #98173,CJ6166 MEDCHAP DISTRIBUIDORA DE MEDICAMENTOS CHAPECO - CURITIBANOS - SC,DF - DISTRIBUIDORA 0004 [5],86376,000077506,Sim,3935.00,1967.50,1111251 1.1.1.01.02.051 - Banco ARTICO QI - 5967,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,801319,1967.50,1,1967.50,,26/05/2026,DISTRIBUIDORA,27/03/2026
801318,27/05/2026,24/06/2026,Pagamento #98172,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,DF - DISTRIBUIDORA 0004 [5],89310,000080242,Sim,16748.56,5582.85,2111125 2.1.1.01.01.025 - DCASH FIDIC,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801318,11165.71,1,5582.85,,27/05/2026,HOSPITAL,29/04/2026
801106,20/05/2026,01/06/2026,Pagamento #98171,CJ5276 HOSPITAL ISRAELITA ALBERTEINSTEIN - SÃO PAULO - SP,DF - DISTRIBUIDORA 0004 [5],84280,000075734,Sim,71879.22,4976.74,1111201 1.1.1.01.02.001 - Banco do Brasil 288-8-[10021],1121102 1.1.2.01.01.002 - Clínicas e Hospitais,801106,66902.48,1,4976.74,,01/06/2026,HOSPITAL,04/03/2026
800813,26/05/2026,26/06/2026,Pagamento #98170,CJ3933 VIVER BEM - UNIMED PATOS DE MINAS - MG,DF - DISTRIBUIDORA 0004 [5],87578,000078605,Não,28752.00,9584.00,1111231 1.1.1.01.02.031 - Banco BOCOM BBM 155-1,1121101 1.1.2.01.01.001 - Operadoras de Saúde,800813,19168.00,1,9584.00,,26/05/2026,OPERADORA,10/04/2026
800812,26/05/2026,26/05/2026,Pagamento #98169,CJ2185 HOSPITAL BENEFICENTE UNIMAR - MARILIA - SP,DF - DISTRIBUIDORA 0004 [5],84222,000075686,Não,21524.90,21524.90,1111231 1.1.1.01.02.031 - Banco BOCOM BBM 155-1,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800812,.00,3,7174.96,,26/05/2026,HOSPITAL,03/03/2026
800736,26/05/2026,25/06/2026,Pagamento #98168,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,DF - DISTRIBUIDORA 0004 [5],89369,000080309,Sim,78962.88,26320.96,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800736,52641.92,1,26320.96,,28/05/2026,HOSPITAL,30/04/2026
800735,26/05/2026,24/06/2026,Pagamento #98167,CJ3228 UNIMED HOSPITAL SAO DOMINGOS - CATANDUVA - SP,DF - DISTRIBUIDORA 0004 [5],89317,000080249,Sim,8014.74,2671.58,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800735,5343.16,1,2671.58,,27/05/2026,HOSPITAL,29/04/2026
800734,26/05/2026,22/06/2026,Pagamento #98166,CF6186 NATALIA DE CARVALHO DIAS,RJ - FARMACIA 0002 [6],88714,000027817,Sim,3985.16,1328.39,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121103 1.1.2.01.01.003 - Outros Clientes Pessoa Jurídica,800734,2656.77,1,1328.39,,23/05/2026,PESSOA FÍSICA,23/04/2026
800733,26/05/2026,27/05/2026,Pagamento #98165,CJ2704 UNIMED ARAXA - MG,DF - DISTRIBUIDORA 0004 [5],88871,000079830,Sim,1135.72,1135.72,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800733,.00,1,1135.72,,27/05/2026,HOSPITAL,27/04/2026
800732,26/05/2026,10/06/2026,Pagamento #98164,CJ5208 COP - CENTRO DE ONCOLOGIA DO PONTAL - ITUIUTABA - MG,DF - DISTRIBUIDORA 0004 [5],85136,000076470,Sim,250620.84,200496.68,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800732,50124.16,4,50124.17,,26/05/2026,HOSPITAL,12/03/2026
800731,26/05/2026,26/05/2026,Pagamento #98163,CJ4130 CIASU - CENTRO INTEGRADO DE ASSISTENCIA A SAUDE UNIMED - MARINGA - PR,DF - DISTRIBUIDORA 0004 [5],85059,000076408,Sim,59113.39,59113.39,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800731,.00,3,19704.47,,26/05/2026,HOSPITAL,12/03/2026
800730,26/05/2026,26/05/2026,Pagamento #98162,CJ4130 CIASU - CENTRO INTEGRADO DE ASSISTENCIA A SAUDE UNIMED - MARINGA - PR,DF - DISTRIBUIDORA 0004 [5],85061,000076410,Sim,222430.74,222430.74,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800730,.00,3,74143.58,,26/05/2026,HOSPITAL,12/03/2026
800729,26/05/2026,26/05/2026,Pagamento #98161,CJ2185 HOSPITAL BENEFICENTE UNIMAR - MARILIA - SP,DF - DISTRIBUIDORA 0004 [5],84253,000075702,Sim,4359.00,4359.00,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800729,.00,3,1453.00,,26/05/2026,HOSPITAL,03/03/2026
800728,26/05/2026,26/05/2026,Pagamento #98160,CJ5391 HOSPITAL MAE DE DEUS - PORTO ALEGRE - RS,DF - DISTRIBUIDORA 0004 [5],83497,000075045,Sim,33733.65,33733.65,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800728,.00,2,16866.82,,26/05/2026,HOSPITAL,25/02/2026
800727,26/05/2026,26/05/2026,Pagamento #98159,CJ4667 HOSPITAL UNIMED CUIABA - MT,DF - DISTRIBUIDORA 0004 [5],83481,000075031,Sim,8900.00,8900.00,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800727,.00,3,2966.66,,26/05/2026,HOSPITAL,25/02/2026
800726,26/05/2026,26/05/2026,Pagamento #98158,CJ4861 COP - CENTRO DE ONCOLOGIA DO PARANA - CURITIBA - PR,SC - DISTRIBUIDORA 0006 [8],83451,000003572,Sim,16705.99,16705.99,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800726,.00,3,5568.67,,26/05/2026,CLINICA,25/02/2026
800725,26/05/2026,25/06/2026,Pagamento #98157,CJ186 HOSPITAL UNIMED VITORIA - ES,DF - DISTRIBUIDORA 0004 [5],83438,000074991,Sim,50406.45,37804.83,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800725,12601.62,3,12601.61,,26/05/2026,HOSPITAL,25/02/2026
800724,26/05/2026,26/05/2026,Pagamento #98156,CJ4667 HOSPITAL UNIMED CUIABA - MT,DF - DISTRIBUIDORA 0004 [5],83473,000075025,Sim,39671.00,39671.00,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800724,.00,3,13223.66,,26/05/2026,HOSPITAL,25/02/2026
800723,26/05/2026,26/05/2026,Pagamento #98155,CJ5391 HOSPITAL MAE DE DEUS - PORTO ALEGRE - RS,DF - DISTRIBUIDORA 0004 [5],83450,000075003,Sim,9150.00,9150.00,1111242 1.1.1.01.02.042 - Banco Kanastra RJ   936-9,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800723,.00,2,4575.00,,26/05/2026,HOSPITAL,25/02/2026
800722,26/05/2026,12/05/2026,Pagamento #98154,CJ6436 UNIMED DE CATALAO - GO,DF - DISTRIBUIDORA 0004 [5],87838,000078853,Não,7279.00,7279.00,1111201 1.1.1.01.02.001 - Banco do Brasil 288-8-[10021],1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800722,.00,1,7279.00,,12/05/2026,OPERADORA,14/04/2026
800721,26/05/2026,26/05/2026,Pagamento #98153,CJ186 HOSPITAL UNIMED VITORIA - ES,DF - DISTRIBUIDORA 0004 [5],80957,000072822,Não,170400.00,170400.00,1111201 1.1.1.01.02.001 - Banco do Brasil 288-8-[10021],1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800721,.00,4,42600.00,,26/05/2026,HOSPITAL,26/01/2026
800720,27/05/2026,26/05/2026,Pagamento #98152,CJ4247 HOSPITAL UNIMED COSTA DO SOL - UNIDADE GLORIA - MACAE - RJ,DF - DISTRIBUIDORA 0004 [5],86465,000077589,Não,16608.00,16608.00,1111308 1.1.1.01.03.008 - Banco ABC Brasil 967-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800720,.00,3,5536.00,,26/05/2026,HOSPITAL,27/03/2026
800719,27/05/2026,26/05/2026,Pagamento #98151,CJ2022 HOSPITAL UNIMED LIMEIRA - SP,DF - DISTRIBUIDORA 0004 [5],86460,000077584,Não,1290.00,1290.00,1111308 1.1.1.01.03.008 - Banco ABC Brasil 967-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800719,.00,2,645.00,,26/05/2026,HOSPITAL,27/03/2026
800718,27/05/2026,26/05/2026,Pagamento #98150,CJ3866 HOSPITAL E MATERNIDADE UNIMED DE OURINHOS - SP,DF - DISTRIBUIDORA 0004 [5],86440,000077565,Não,3068.00,3068.00,1111308 1.1.1.01.03.008 - Banco ABC Brasil 967-2,1121102 1.1.2.01.01.002 - Clínicas e Hospitais,800718,.00,2,1534.00,,26/05/2026,HOSPITAL,27/03/2026
